﻿
***********************************************************************************
***---- 27/5/2025  3:24 Archivo generado en https://LaWebdelaPrimitiva.com ----***
***********************************************************************************
Histórico de sorteos de La Primitiva

FECHA; N1;N2;N3;N4;N5;N6;C;R;Joker;Pares/Impares;Decenas;Bajos/Altos;Repiten
Jue-17-10-1985 ; 3;11;13;15;34;35;27;0;;(1/5);'13020';(4/2);0
Jue-24-10-1985 ; 5;16;18;29;43;44; 2;0;;(3/3);'12102';(3/3);0
Jue-31-10-1985 ;10;14;29;33;46;48;30;0;;(4/2);'02112';(2/4);1
Jue-7-11-1985 ; 2; 9;14;19;34;43;49;0;;(3/3);'22011';(4/2);1
Jue-14-11-1985 ;19;22;34;36;37;43;38;0;;(3/3);'01131';(2/4);3
Jue-21-11-1985 ; 6;15;35;44;46;48;38;0;;(4/2);'11013';(2/4);0
Jue-28-11-1985 ; 9;17;20;34;41;47;11;0;;(2/4);'11112';(3/3);0
Jue-5-12-1985 ; 4;14;23;27;30;40;12;0;;(4/2);'11211';(3/3);0
Jue-12-12-1985 ; 2; 5; 7;43;48;49;11;0;;(2/4);'30003';(3/3);0
Jue-19-12-1985 ; 5;28;30;34;39;44;15;0;;(4/2);'10131';(1/5);1
Jue-2-01-1986 ;16;18;38;43;44;47;39;0;;(4/2);'02013';(2/4);1
Jue-9-01-1986 ; 2; 6; 8;10;30;48;41;0;;(6/0);'31011';(4/2);0
Jue-16-01-1986 ; 2;14;32;36;41;48;44;0;;(5/1);'11022';(2/4);2
Jue-23-01-1986 ; 9;17;35;37;38;46; 2;0;;(2/4);'11031';(2/4);0
Jue-30-01-1986 ;20;25;35;42;45;46;17;0;;(3/3);'00213';(2/4);2
Jue-6-02-1986 ;13;14;23;41;47;48;30;0;;(2/4);'02103';(3/3);0
Jue-13-02-1986 ; 5;18;21;28;35;48;11;0;;(3/3);'11211';(3/3);1
Jue-20-02-1986 ;15;18;39;42;43;49;48;0;;(2/4);'02013';(2/4);1
Jue-27-02-1986 ; 3;26;28;31;46;49;27;0;;(3/3);'10212';(1/5);1
Jue-6-03-1986 ; 4;10;15;34;35;36; 6;0;;(4/2);'12030';(3/3);0
Jue-13-03-1986 ; 1; 4;12;13;38;45;32;0;;(3/3);'22011';(4/2);1
Jue-20-03-1986 ;11;25;31;35;41;45;14;0;;(0/6);'01122';(2/4);1
Jue-27-03-1986 ;11;20;22;40;41;46; 4;0;;(4/2);'01203';(3/3);2
Jue-3-04-1986 ; 1; 7;16;20;36;38;48;0;;(4/2);'21120';(4/2);1
Jue-10-04-1986 ; 6;12;21;23;35;41;30;0;;(2/4);'11211';(4/2);0
Jue-17-04-1986 ; 6;12;26;33;35;45;47;0;;(3/3);'11121';(2/4);3
Jue-24-04-1986 ;11;21;34;36;41;44;27;0;;(3/3);'01122';(2/4);0
Jue-1-05-1986 ; 1; 6;22;35;47;49;29;0;;(2/4);'20112';(3/3);0
Jue-8-05-1986 ; 2;20;21;31;36;49;18;0;;(3/3);'10221';(3/3);1
